"","...1","Trapnest","Date","Day_of_year","Year","Site","Subsite","Treatment","Good_days","New_nests_meg","New_nests_sum","Available_cavities_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_meg","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior"
"23",23,"trapnest_101",2024-06-11,163,"year_2024","CP","AJ","Mid",1,0,0,12,6,0,NA,0,0,6
"24",24,"trapnest_101",2024-06-14,166,"year_2024","CP","AJ","Mid",1,0,0,11,6,0,NA,0,0,6
"25",25,"trapnest_101",2024-06-17,169,"year_2024","CP","AJ","Mid",3,0,0,11,6,0,NA,0,0,6
"26",26,"trapnest_101",2024-06-21,173,"year_2024","CP","AJ","Mid",4,0,0,12,6,0,NA,0,0,6
"27",27,"trapnest_101",2024-06-25,177,"year_2024","CP","AJ","Mid",1,0,0,12,6,0,NA,0,0,6
"28",28,"trapnest_101",2024-06-28,180,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"29",29,"trapnest_101",2024-07-02,184,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"30",30,"trapnest_101",2024-07-05,187,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"31",31,"trapnest_101",2024-07-08,190,"year_2024","CP","AJ","Mid",2,0,0,12,6,0,NA,0,0,6
"32",32,"trapnest_101",2024-07-13,195,"year_2024","CP","AJ","Mid",2,0,0,12,6,0,NA,0,0,6
"33",33,"trapnest_101",2024-07-16,198,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"34",34,"trapnest_101",2024-07-19,201,"year_2024","CP","AJ","Mid",2,0,0,12,6,0,NA,0,0,6
"35",35,"trapnest_101",2024-07-22,204,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"36",36,"trapnest_101",2024-07-24,206,"year_2024","CP","AJ","Mid",2,0,0,12,6,0,NA,0,0,6
"37",37,"trapnest_101",2024-07-26,208,"year_2024","CP","AJ","Mid",0,0,0,12,6,0,NA,0,0,6
"38",38,"trapnest_101",2024-07-29,211,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"39",39,"trapnest_101",2024-08-02,215,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"40",40,"trapnest_101",2024-08-06,219,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"41",41,"trapnest_101",2024-08-08,221,"year_2024","CP","AJ","Mid",0,0,0,12,6,0,NA,0,0,6
"42",42,"trapnest_101",2024-08-12,225,"year_2024","CP","AJ","Mid",3,0,0,12,6,0,NA,0,0,6
"43",43,"trapnest_102",2024-06-05,157,"year_2024","CP","AJ","High",2,0,0,8,10,0,NA,0,0,10
"44",44,"trapnest_102",2024-06-11,163,"year_2024","CP","AJ","High",1,0,0,8,10,0,NA,0,0,10
"45",45,"trapnest_102",2024-06-14,166,"year_2024","CP","AJ","High",1,0,0,8,10,0,NA,0,0,10
"46",46,"trapnest_102",2024-06-17,169,"year_2024","CP","AJ","High",3,0,0,8,10,0,NA,0,0,10
"47",47,"trapnest_102",2024-06-21,173,"year_2024","CP","AJ","High",4,1,1,8,10,0,1,0,0,10
"48",48,"trapnest_102",2024-06-25,177,"year_2024","CP","AJ","High",1,1,1,8,10,1,2,0,1,10
"49",49,"trapnest_102",2024-06-28,180,"year_2024","CP","AJ","High",3,0,0,8,10,2,2,0,2,10
"50",50,"trapnest_102",2024-07-02,184,"year_2024","CP","AJ","High",3,0,0,8,10,2,2,0,2,10
"51",51,"trapnest_102",2024-07-05,187,"year_2024","CP","AJ","High",3,0,0,8,10,2,0,0,2,10
"52",52,"trapnest_102",2024-07-08,190,"year_2024","CP","AJ","High",2,0,0,8,10,2,0,0,2,10
"53",53,"trapnest_102",2024-07-13,195,"year_2024","CP","AJ","High",2,0,0,8,10,2,0,0,2,10
"54",54,"trapnest_102",2024-07-16,198,"year_2024","CP","AJ","High",3,0,0,8,10,2,0,0,2,10
"55",55,"trapnest_102",2024-07-19,201,"year_2024","CP","AJ","High",2,0,0,8,10,2,0,0,2,10
"56",56,"trapnest_102",2024-07-22,204,"year_2024","CP","AJ","High",3,0,0,8,10,2,0,0,2,10
"57",57,"trapnest_102",2024-07-24,206,"year_2024","CP","AJ","High",2,0,0,8,10,2,0,0,2,10
"58",58,"trapnest_102",2024-07-26,208,"year_2024","CP","AJ","High",0,0,0,8,10,0,NA,0,0,10
"59",59,"trapnest_102",2024-07-29,211,"year_2024","CP","AJ","High",3,0,0,8,10,0,NA,0,0,10
"60",60,"trapnest_102",2024-08-02,215,"year_2024","CP","AJ","High",3,0,0,8,10,0,NA,0,0,10
"61",61,"trapnest_102",2024-08-06,219,"year_2024","CP","AJ","High",3,0,0,8,10,0,NA,0,0,10
"62",62,"trapnest_102",2024-08-08,221,"year_2024","CP","AJ","High",0,0,0,8,10,0,NA,0,0,10
"63",63,"trapnest_102",2024-08-12,225,"year_2024","CP","AJ","High",3,0,0,8,10,0,NA,0,0,10
"64",64,"trapnest_103",2024-06-05,157,"year_2024","CP","AK","Low",2,0,0,18,0,0,NA,0,0,0
"65",65,"trapnest_103",2024-06-11,163,"year_2024","CP","AK","Low",1,0,0,18,0,0,NA,0,0,0
"66",66,"trapnest_103",2024-06-14,166,"year_2024","CP","AK","Low",1,0,0,18,0,0,NA,0,0,0
"67",67,"trapnest_103",2024-06-17,169,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"68",68,"trapnest_103",2024-06-21,173,"year_2024","CP","AK","Low",4,0,0,18,0,0,NA,0,0,0
"69",69,"trapnest_103",2024-06-25,177,"year_2024","CP","AK","Low",1,0,0,18,0,0,NA,0,0,0
"70",70,"trapnest_103",2024-06-28,180,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"71",71,"trapnest_103",2024-07-02,184,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"72",72,"trapnest_103",2024-07-05,187,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"73",73,"trapnest_103",2024-07-08,190,"year_2024","CP","AK","Low",2,0,0,18,0,0,NA,0,0,0
"74",74,"trapnest_103",2024-07-13,195,"year_2024","CP","AK","Low",2,0,0,18,0,0,NA,0,0,0
"75",75,"trapnest_103",2024-07-16,198,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"76",76,"trapnest_103",2024-07-19,201,"year_2024","CP","AK","Low",2,0,0,18,0,0,NA,0,0,0
"77",77,"trapnest_103",2024-07-22,204,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"78",78,"trapnest_103",2024-07-24,206,"year_2024","CP","AK","Low",2,0,0,18,0,0,NA,0,0,0
"79",79,"trapnest_103",2024-07-26,208,"year_2024","CP","AK","Low",0,0,0,18,0,0,NA,0,0,0
"80",80,"trapnest_103",2024-07-29,211,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"81",81,"trapnest_103",2024-08-02,215,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"82",82,"trapnest_103",2024-08-06,219,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"83",83,"trapnest_103",2024-08-08,221,"year_2024","CP","AK","Low",0,0,0,18,0,0,NA,0,0,0
"84",84,"trapnest_103",2024-08-12,225,"year_2024","CP","AK","Low",3,0,0,18,0,0,NA,0,0,0
"85",85,"trapnest_104",2024-06-05,157,"year_2024","CP","AK","Mid",2,0,0,12,6,0,NA,0,0,6
"86",86,"trapnest_104",2024-06-11,163,"year_2024","CP","AK","Mid",1,0,0,12,6,0,NA,0,0,6
"87",87,"trapnest_104",2024-06-14,166,"year_2024","CP","AK","Mid",1,0,0,12,6,0,NA,0,0,6
"88",88,"trapnest_104",2024-06-17,169,"year_2024","CP","AK","Mid",3,0,0,12,6,0,NA,0,0,6
"89",89,"trapnest_104",2024-06-21,173,"year_2024","CP","AK","Mid",4,1,1,12,6,0,1,0,0,6
"90",90,"trapnest_104",2024-06-25,177,"year_2024","CP","AK","Mid",1,0,0,12,6,1,1,0,1,6
"91",91,"trapnest_104",2024-06-28,180,"year_2024","CP","AK","Mid",3,0,0,12,6,1,1,0,1,6
"92",92,"trapnest_104",2024-07-02,184,"year_2024","CP","AK","Mid",3,1,1,12,6,1,2,0,1,6
"93",93,"trapnest_104",2024-07-05,187,"year_2024","CP","AK","Mid",3,0,0,11,7,1,1,0,1,7
"94",94,"trapnest_104",2024-07-08,190,"year_2024","CP","AK","Mid",2,0,0,12,6,1,1,0,1,6
"95",95,"trapnest_104",2024-07-13,195,"year_2024","CP","AK","Mid",2,1,1,12,6,1,2,0,1,6
"96",96,"trapnest_104",2024-07-16,198,"year_2024","CP","AK","Mid",3,0,0,12,6,2,1,0,1,5
"97",97,"trapnest_104",2024-07-19,201,"year_2024","CP","AK","Mid",2,0,0,12,6,2,1,0,1,5
"98",98,"trapnest_104",2024-07-22,204,"year_2024","CP","AK","Mid",3,1,1,12,6,2,1,0,2,6
"99",99,"trapnest_104",2024-07-24,206,"year_2024","CP","AK","Mid",2,0,0,11,7,3,1,0,3,7
"100",100,"trapnest_104",2024-07-26,208,"year_2024","CP","AK","Mid",0,0,0,11,7,3,1,0,3,7
"101",101,"trapnest_104",2024-07-29,211,"year_2024","CP","AK","Mid",3,1,1,11,7,3,1,0,3,7
"102",102,"trapnest_104",2024-08-02,215,"year_2024","CP","AK","Mid",3,0,0,11,7,3,1,0,2,6
"103",103,"trapnest_104",2024-08-06,219,"year_2024","CP","AK","Mid",3,0,0,11,7,2,1,0,1,6
"104",104,"trapnest_104",2024-08-08,221,"year_2024","CP","AK","Mid",0,0,0,11,7,2,1,0,1,6
"105",105,"trapnest_104",2024-08-12,225,"year_2024","CP","AK","Mid",3,0,0,11,7,2,1,0,1,6
"106",106,"trapnest_105",2024-06-05,157,"year_2024","CP","AK","High",2,0,0,7,11,0,NA,0,0,11
"107",107,"trapnest_105",2024-06-11,163,"year_2024","CP","AK","High",1,0,0,7,11,0,NA,0,0,11
"108",108,"trapnest_105",2024-06-14,166,"year_2024","CP","AK","High",1,0,0,7,11,0,NA,0,0,11
"109",109,"trapnest_105",2024-06-17,169,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"110",110,"trapnest_105",2024-06-21,173,"year_2024","CP","AK","High",4,0,0,7,11,0,NA,0,0,11
"111",111,"trapnest_105",2024-06-25,177,"year_2024","CP","AK","High",1,0,0,7,11,0,NA,0,0,11
"112",112,"trapnest_105",2024-06-28,180,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"113",113,"trapnest_105",2024-07-02,184,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"114",114,"trapnest_105",2024-07-05,187,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"115",115,"trapnest_105",2024-07-08,190,"year_2024","CP","AK","High",2,0,0,7,11,0,NA,0,0,11
"116",116,"trapnest_105",2024-07-13,195,"year_2024","CP","AK","High",2,0,0,7,11,0,NA,0,0,11
"117",117,"trapnest_105",2024-07-16,198,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"118",118,"trapnest_105",2024-07-19,201,"year_2024","CP","AK","High",2,0,0,7,11,0,NA,0,0,11
"119",119,"trapnest_105",2024-07-22,204,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"120",120,"trapnest_105",2024-07-24,206,"year_2024","CP","AK","High",2,0,0,7,11,0,NA,0,0,11
"121",121,"trapnest_105",2024-07-26,208,"year_2024","CP","AK","High",0,0,0,7,11,0,NA,0,0,11
"122",122,"trapnest_105",2024-07-29,211,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"123",123,"trapnest_105",2024-08-02,215,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"124",124,"trapnest_105",2024-08-06,219,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"125",125,"trapnest_105",2024-08-08,221,"year_2024","CP","AK","High",0,0,0,7,11,0,NA,0,0,11
"126",126,"trapnest_105",2024-08-12,225,"year_2024","CP","AK","High",3,0,0,7,11,0,NA,0,0,11
"127",127,"trapnest_106",2024-06-05,157,"year_2024","CP","AL","Low",2,0,0,18,0,0,NA,0,0,0
"128",128,"trapnest_106",2024-06-11,163,"year_2024","CP","AL","Low",1,0,0,18,0,0,NA,0,0,0
"129",129,"trapnest_106",2024-06-14,166,"year_2024","CP","AL","Low",1,0,0,18,0,0,NA,0,0,0
"130",130,"trapnest_106",2024-06-17,169,"year_2024","CP","AL","Low",3,0,0,18,0,0,NA,0,0,0
"131",131,"trapnest_106",2024-06-21,173,"year_2024","CP","AL","Low",4,1,1,18,0,0,1,0,0,0
"132",132,"trapnest_106",2024-06-25,177,"year_2024","CP","AL","Low",1,0,0,17,1,1,0,0,1,1
"133",133,"trapnest_106",2024-06-28,180,"year_2024","CP","AL","Low",3,0,0,17,1,1,0,0,1,1
"134",134,"trapnest_106",2024-07-02,184,"year_2024","CP","AL","Low",3,0,0,17,1,1,0,0,1,1
"135",135,"trapnest_106",2024-07-05,187,"year_2024","CP","AL","Low",3,0,0,18,0,0,NA,0,0,0
"136",136,"trapnest_106",2024-07-08,190,"year_2024","CP","AL","Low",2,0,0,18,0,0,NA,0,0,0
"137",137,"trapnest_106",2024-07-13,195,"year_2024","CP","AL","Low",2,0,0,18,0,0,NA,0,0,0
"138",138,"trapnest_106",2024-07-16,198,"year_2024","CP","AL","Low",3,0,0,17,0,0,NA,0,0,0
"139",139,"trapnest_106",2024-07-19,201,"year_2024","CP","AL","Low",2,0,0,17,0,0,NA,0,0,0
"140",140,"trapnest_106",2024-07-22,204,"year_2024","CP","AL","Low",3,0,0,17,0,0,NA,0,0,0
"141",141,"trapnest_106",2024-07-24,206,"year_2024","CP","AL","Low",2,0,0,17,0,0,NA,0,0,0
"142",142,"trapnest_106",2024-07-26,208,"year_2024","CP","AL","Low",0,0,0,17,0,0,NA,0,0,0
"143",143,"trapnest_106",2024-07-29,211,"year_2024","CP","AL","Low",3,0,0,16,0,0,NA,0,0,0
"144",144,"trapnest_106",2024-08-02,215,"year_2024","CP","AL","Low",3,0,0,17,0,0,NA,0,0,0
"145",145,"trapnest_106",2024-08-06,219,"year_2024","CP","AL","Low",3,0,0,16,0,0,NA,0,0,0
"146",146,"trapnest_106",2024-08-08,221,"year_2024","CP","AL","Low",0,0,0,17,0,0,NA,0,0,0
"147",147,"trapnest_106",2024-08-12,225,"year_2024","CP","AL","Low",3,0,0,17,0,0,NA,0,0,0
"148",148,"trapnest_107",2024-06-05,157,"year_2024","CP","AL","Mid",2,1,1,12,6,0,1,0,0,6
"149",149,"trapnest_107",2024-06-11,163,"year_2024","CP","AL","Mid",1,0,0,12,6,1,1,1,0,5
"150",150,"trapnest_107",2024-06-14,166,"year_2024","CP","AL","Mid",1,0,0,12,6,1,1,1,0,5
"151",151,"trapnest_107",2024-06-17,169,"year_2024","CP","AL","Mid",3,1,1,12,6,1,2,1,0,5
"152",152,"trapnest_107",2024-06-21,173,"year_2024","CP","AL","Mid",4,0,0,11,7,2,0,0,2,7
"153",153,"trapnest_107",2024-06-25,177,"year_2024","CP","AL","Mid",1,0,0,12,6,2,0,0,2,6
"154",154,"trapnest_107",2024-06-28,180,"year_2024","CP","AL","Mid",3,0,0,12,6,2,0,0,2,6
"155",155,"trapnest_107",2024-07-02,184,"year_2024","CP","AL","Mid",3,0,0,12,6,2,0,0,2,6
"156",156,"trapnest_107",2024-07-05,187,"year_2024","CP","AL","Mid",3,0,0,12,6,2,0,0,2,6
"157",157,"trapnest_107",2024-07-08,190,"year_2024","CP","AL","Mid",2,0,0,12,6,2,0,0,2,6
"158",158,"trapnest_107",2024-07-13,195,"year_2024","CP","AL","Mid",2,0,0,12,6,2,0,0,2,6
"159",159,"trapnest_107",2024-07-16,198,"year_2024","CP","AL","Mid",3,0,0,12,6,2,0,0,2,6
"160",160,"trapnest_107",2024-07-19,201,"year_2024","CP","AL","Mid",2,0,0,12,6,2,0,0,2,6
"161",161,"trapnest_107",2024-07-22,204,"year_2024","CP","AL","Mid",3,0,0,12,6,2,0,0,2,6
"162",162,"trapnest_107",2024-07-24,206,"year_2024","CP","AL","Mid",2,0,0,12,6,2,0,0,2,6
"163",163,"trapnest_107",2024-07-26,208,"year_2024","CP","AL","Mid",0,0,0,12,6,0,NA,0,0,6
"164",164,"trapnest_107",2024-07-29,211,"year_2024","CP","AL","Mid",3,0,0,12,6,0,NA,0,0,6
"165",165,"trapnest_107",2024-08-02,215,"year_2024","CP","AL","Mid",3,0,0,12,6,0,NA,0,0,6
"166",166,"trapnest_107",2024-08-06,219,"year_2024","CP","AL","Mid",3,0,0,12,6,0,NA,0,0,6
"167",167,"trapnest_107",2024-08-08,221,"year_2024","CP","AL","Mid",0,0,0,12,6,0,NA,0,0,6
"168",168,"trapnest_107",2024-08-12,225,"year_2024","CP","AL","Mid",3,0,0,12,6,0,NA,0,0,6
"169",169,"trapnest_108",2024-06-05,157,"year_2024","CP","AL","High",2,0,0,7,11,0,NA,0,0,11
"170",170,"trapnest_108",2024-06-11,163,"year_2024","CP","AL","High",1,0,0,7,11,0,NA,0,0,11
"171",171,"trapnest_108",2024-06-14,166,"year_2024","CP","AL","High",1,0,0,6,11,0,NA,0,0,11
"172",172,"trapnest_108",2024-06-17,169,"year_2024","CP","AL","High",3,0,0,6,11,0,NA,0,0,11
"173",173,"trapnest_108",2024-06-21,173,"year_2024","CP","AL","High",4,0,0,4,11,0,NA,0,0,11
"174",174,"trapnest_108",2024-06-25,177,"year_2024","CP","AL","High",1,0,0,5,11,0,NA,0,0,11
"175",175,"trapnest_108",2024-06-28,180,"year_2024","CP","AL","High",3,0,0,6,11,0,NA,0,0,11
"176",176,"trapnest_108",2024-07-02,184,"year_2024","CP","AL","High",3,0,0,6,11,0,NA,0,0,11
"177",177,"trapnest_108",2024-07-05,187,"year_2024","CP","AL","High",3,0,0,6,11,0,NA,0,0,11
"178",178,"trapnest_108",2024-07-08,190,"year_2024","CP","AL","High",2,0,0,6,11,0,NA,0,0,11
"179",179,"trapnest_108",2024-07-13,195,"year_2024","CP","AL","High",2,0,0,7,10,0,NA,0,0,10
"180",180,"trapnest_108",2024-07-16,198,"year_2024","CP","AL","High",3,0,0,6,10,0,NA,0,0,10
"181",181,"trapnest_108",2024-07-19,201,"year_2024","CP","AL","High",2,0,0,7,10,0,NA,0,0,10
"182",182,"trapnest_108",2024-07-22,204,"year_2024","CP","AL","High",3,0,0,6,10,0,NA,0,0,10
"183",183,"trapnest_108",2024-07-24,206,"year_2024","CP","AL","High",2,0,0,7,10,0,NA,0,0,10
"184",184,"trapnest_108",2024-07-26,208,"year_2024","CP","AL","High",0,0,0,7,10,0,NA,0,0,10
"185",185,"trapnest_108",2024-07-29,211,"year_2024","CP","AL","High",3,0,0,6,10,0,NA,0,0,10
"186",186,"trapnest_108",2024-08-02,215,"year_2024","CP","AL","High",3,0,0,7,10,0,NA,0,0,10
"187",187,"trapnest_108",2024-08-06,219,"year_2024","CP","AL","High",3,0,0,7,10,0,NA,0,0,10
"188",188,"trapnest_108",2024-08-08,221,"year_2024","CP","AL","High",0,0,0,7,10,0,NA,0,0,10
"189",189,"trapnest_108",2024-08-12,225,"year_2024","CP","AL","High",3,0,0,7,10,0,NA,0,0,10
"190",190,"trapnest_10",2023-05-11,131,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"191",191,"trapnest_10",2023-05-12,132,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"192",192,"trapnest_10",2023-05-15,135,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"193",193,"trapnest_10",2023-05-16,136,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"194",194,"trapnest_10",2023-05-17,137,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"195",195,"trapnest_10",2023-05-19,139,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"196",196,"trapnest_10",2023-05-21,141,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"197",197,"trapnest_10",2023-05-22,142,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"198",198,"trapnest_10",2023-05-23,143,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"199",199,"trapnest_10",2023-05-26,146,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"200",200,"trapnest_10",2023-05-28,148,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"201",201,"trapnest_10",2023-05-29,149,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"202",202,"trapnest_10",2023-05-31,151,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"203",203,"trapnest_10",2023-06-02,153,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"204",204,"trapnest_10",2023-06-05,156,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"205",205,"trapnest_10",2023-06-08,159,"year_2023","BP","D","Low",2,0,0,18,0,0,NA,0,0,0
"206",206,"trapnest_10",2023-06-10,161,"year_2023","BP","D","Low",0,0,0,18,0,0,NA,0,0,0
"207",207,"trapnest_10",2023-06-12,163,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"208",208,"trapnest_10",2023-06-14,165,"year_2023","BP","D","Low",0,0,0,18,0,0,NA,0,0,0
"209",209,"trapnest_10",2023-06-16,167,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"210",210,"trapnest_10",2023-06-20,171,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"211",211,"trapnest_10",2023-06-23,174,"year_2023","BP","D","Low",3,0,0,18,0,0,NA,0,0,0
"212",212,"trapnest_10",2023-06-29,180,"year_2023","BP","D","Low",1,0,0,18,0,0,NA,0,0,0
"213",213,"trapnest_11",2023-05-11,131,"year_2023","BP","D","Mid",3,0,0,12,0,0,NA,0,0,0
"214",214,"trapnest_11",2023-05-12,132,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"215",215,"trapnest_11",2023-05-15,135,"year_2023","BP","D","Mid",3,0,0,12,0,0,NA,0,0,0
"216",216,"trapnest_11",2023-05-16,136,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"217",217,"trapnest_11",2023-05-17,137,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"218",218,"trapnest_11",2023-05-19,139,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"219",219,"trapnest_11",2023-05-21,141,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"220",220,"trapnest_11",2023-05-22,142,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"221",221,"trapnest_11",2023-05-23,143,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"222",222,"trapnest_11",2023-05-26,146,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"223",223,"trapnest_11",2023-05-28,148,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"224",224,"trapnest_11",2023-05-29,149,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"225",225,"trapnest_11",2023-05-31,151,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"226",226,"trapnest_11",2023-06-02,153,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"227",227,"trapnest_11",2023-06-05,156,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"228",228,"trapnest_11",2023-06-08,159,"year_2023","BP","D","Mid",2,0,0,12,0,0,NA,0,0,0
"229",229,"trapnest_11",2023-06-10,161,"year_2023","BP","D","Mid",0,0,0,12,0,0,NA,0,0,0
"230",230,"trapnest_11",2023-06-12,163,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"231",231,"trapnest_11",2023-06-14,165,"year_2023","BP","D","Mid",0,0,0,12,0,0,NA,0,0,0
"232",232,"trapnest_11",2023-06-16,167,"year_2023","BP","D","Mid",1,0,0,12,0,0,NA,0,0,0
"233",233,"trapnest_11",2023-06-20,171,"year_2023","BP","D","Mid",3,0,0,12,0,0,NA,0,0,0
"234",234,"trapnest_11",2023-06-23,174,"year_2023","BP","D","Mid",3,0,0,12,0,0,NA,0,0,0
"235",235,"trapnest_11",2023-06-29,180,"year_2023","BP","D","Mid",1,0,1,10,0,0,NA,0,0,0
"236",236,"trapnest_12",2023-06-02,153,"year_2023","BP","D","High",2,0,2,8,0,0,NA,0,0,0
