"","Site","Subsite","Treatment","Trapnest","Cavity_number","Straw_ID","Date","Nest_ID","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior"
"16","BP","A","Low","trapnest_1",10,"a",2023-06-08,"1_10a","1_10","empty","none",2,0,17,0,0,0,1,1,0,0
"17","BP","A","Low","trapnest_1",10,"a",2023-06-10,"1_10a","1_10","empty","none",0,0,17,0,0,0,1,1,0,0
"18","BP","A","Low","trapnest_1",10,"a",2023-06-12,"1_10a","1_10","empty","none",1,0,17,0,0,0,1,1,0,0
"19","BP","A","Low","trapnest_1",10,"a",2023-06-14,"1_10a","1_10","empty","none",0,0,17,0,0,0,1,1,0,0
"20","BP","A","Low","trapnest_1",10,"a",2023-06-16,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"21","BP","A","Low","trapnest_1",10,"a",2023-06-20,"1_10a","1_10","empty","none",3,0,18,0,0,0,0,0,0,0
"22","BP","A","Low","trapnest_1",10,"a",2023-06-23,"1_10a","1_10","empty","none",3,0,18,0,0,0,0,0,0,0
"23","BP","A","Low","trapnest_1",10,"a",2023-06-29,"1_10a","1_10","empty","none",1,0,18,0,0,0,0,0,0,0
"24","BP","A","Low","trapnest_1",11,"a",2023-05-11,"1_11a","1_11","empty","none",3,0,18,0,0,0,0,0,0,0
"25","BP","A","Low","trapnest_1",11,"a",2023-05-12,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"26","BP","A","Low","trapnest_1",11,"a",2023-05-15,"1_11a","1_11","empty","none",3,0,18,0,0,0,0,0,0,0
"27","BP","A","Low","trapnest_1",11,"a",2023-05-16,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"28","BP","A","Low","trapnest_1",11,"a",2023-05-17,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"29","BP","A","Low","trapnest_1",11,"a",2023-05-19,"1_11a","1_11","empty","none",2,0,18,0,0,0,0,0,0,0
"30","BP","A","Low","trapnest_1",11,"a",2023-05-21,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"31","BP","A","Low","trapnest_1",11,"a",2023-05-22,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"32","BP","A","Low","trapnest_1",11,"a",2023-05-23,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"33","BP","A","Low","trapnest_1",11,"a",2023-05-26,"1_11a","1_11","empty","none",2,0,18,0,0,0,0,0,0,0
"34","BP","A","Low","trapnest_1",11,"a",2023-05-28,"1_11a","1_11","empty","none",2,0,18,0,0,0,0,0,0,0
"35","BP","A","Low","trapnest_1",11,"a",2023-05-29,"1_11a","1_11","empty","none",1,0,18,1,0,1,0,0,0,0
"36","BP","A","Low","trapnest_1",11,"a",2023-05-31,"1_11a","1_11","empty","none",2,0,17,0,0,0,1,1,0,0
"37","BP","A","Low","trapnest_1",11,"a",2023-06-02,"1_11a","1_11","empty","none",2,0,17,0,0,0,1,1,0,0
"38","BP","A","Low","trapnest_1",11,"a",2023-06-05,"1_11a","1_11","empty","none",1,0,18,1,0,1,0,0,0,0
"39","BP","A","Low","trapnest_1",11,"a",2023-06-08,"1_11a","1_11","empty","none",2,0,17,0,0,0,1,1,0,0
"40","BP","A","Low","trapnest_1",11,"a",2023-06-10,"1_11a","1_11","empty","none",0,0,17,0,0,0,1,1,0,0
"41","BP","A","Low","trapnest_1",11,"a",2023-06-12,"1_11a","1_11","empty","none",1,0,17,0,0,0,1,1,0,0
"42","BP","A","Low","trapnest_1",11,"a",2023-06-14,"1_11a","1_11","empty","none",0,0,17,0,0,0,1,1,0,0
"43","BP","A","Low","trapnest_1",11,"a",2023-06-16,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"44","BP","A","Low","trapnest_1",11,"a",2023-06-20,"1_11a","1_11","empty","none",3,0,18,0,0,0,0,0,0,0
"45","BP","A","Low","trapnest_1",11,"a",2023-06-23,"1_11a","1_11","empty","none",3,0,18,0,0,0,0,0,0,0
"46","BP","A","Low","trapnest_1",11,"a",2023-06-29,"1_11a","1_11","empty","none",1,0,18,0,0,0,0,0,0,0
"47","BP","A","Low","trapnest_1",12,"a",2023-05-11,"1_12a","1_12","empty","none",3,0,18,0,0,0,0,0,0,0
"48","BP","A","Low","trapnest_1",12,"a",2023-05-12,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"49","BP","A","Low","trapnest_1",12,"a",2023-05-15,"1_12a","1_12","empty","none",3,0,18,0,0,0,0,0,0,0
"50","BP","A","Low","trapnest_1",12,"a",2023-05-16,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"51","BP","A","Low","trapnest_1",12,"a",2023-05-17,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"52","BP","A","Low","trapnest_1",12,"a",2023-05-19,"1_12a","1_12","empty","none",2,0,18,0,0,0,0,0,0,0
"53","BP","A","Low","trapnest_1",12,"a",2023-05-21,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"54","BP","A","Low","trapnest_1",12,"a",2023-05-22,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"55","BP","A","Low","trapnest_1",12,"a",2023-05-23,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"56","BP","A","Low","trapnest_1",12,"a",2023-05-26,"1_12a","1_12","empty","none",2,0,18,0,0,0,0,0,0,0
"57","BP","A","Low","trapnest_1",12,"a",2023-05-28,"1_12a","1_12","empty","none",2,0,18,0,0,0,0,0,0,0
"58","BP","A","Low","trapnest_1",12,"a",2023-05-29,"1_12a","1_12","empty","none",1,0,18,1,0,1,0,0,0,0
"59","BP","A","Low","trapnest_1",12,"a",2023-05-31,"1_12a","1_12","empty","none",2,0,17,0,0,0,1,1,0,0
"60","BP","A","Low","trapnest_1",12,"a",2023-06-02,"1_12a","1_12","empty","none",2,0,17,0,0,0,1,1,0,0
"61","BP","A","Low","trapnest_1",12,"a",2023-06-05,"1_12a","1_12","empty","none",1,0,18,1,0,1,0,0,0,0
"62","BP","A","Low","trapnest_1",12,"a",2023-06-08,"1_12a","1_12","empty","none",2,0,17,0,0,0,1,1,0,0
"63","BP","A","Low","trapnest_1",12,"a",2023-06-10,"1_12a","1_12","empty","none",0,0,17,0,0,0,1,1,0,0
"64","BP","A","Low","trapnest_1",12,"a",2023-06-12,"1_12a","1_12","empty","none",1,0,17,0,0,0,1,1,0,0
"65","BP","A","Low","trapnest_1",12,"a",2023-06-14,"1_12a","1_12","empty","none",0,0,17,0,0,0,1,1,0,0
"66","BP","A","Low","trapnest_1",12,"a",2023-06-16,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"67","BP","A","Low","trapnest_1",12,"a",2023-06-20,"1_12a","1_12","empty","none",3,0,18,0,0,0,0,0,0,0
"68","BP","A","Low","trapnest_1",12,"a",2023-06-23,"1_12a","1_12","empty","none",3,0,18,0,0,0,0,0,0,0
"69","BP","A","Low","trapnest_1",12,"a",2023-06-29,"1_12a","1_12","empty","none",1,0,18,0,0,0,0,0,0,0
"70","BP","A","Low","trapnest_1",13,"a",2023-05-11,"1_13a","1_13","empty","none",3,0,18,0,0,0,0,0,0,0
"71","BP","A","Low","trapnest_1",13,"a",2023-05-12,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"72","BP","A","Low","trapnest_1",13,"a",2023-05-15,"1_13a","1_13","empty","none",3,0,18,0,0,0,0,0,0,0
"73","BP","A","Low","trapnest_1",13,"a",2023-05-16,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"74","BP","A","Low","trapnest_1",13,"a",2023-05-17,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"75","BP","A","Low","trapnest_1",13,"a",2023-05-19,"1_13a","1_13","empty","none",2,0,18,0,0,0,0,0,0,0
"76","BP","A","Low","trapnest_1",13,"a",2023-05-21,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"77","BP","A","Low","trapnest_1",13,"a",2023-05-22,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"78","BP","A","Low","trapnest_1",13,"a",2023-05-23,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"79","BP","A","Low","trapnest_1",13,"a",2023-05-26,"1_13a","1_13","empty","none",2,0,18,0,0,0,0,0,0,0
"80","BP","A","Low","trapnest_1",13,"a",2023-05-28,"1_13a","1_13","empty","none",2,0,18,0,0,0,0,0,0,0
"81","BP","A","Low","trapnest_1",13,"a",2023-05-29,"1_13a","1_13","empty","none",1,0,18,1,0,1,0,0,0,0
"82","BP","A","Low","trapnest_1",13,"a",2023-05-31,"1_13a","1_13","empty","none",2,0,17,0,0,0,1,1,0,0
"83","BP","A","Low","trapnest_1",13,"a",2023-06-02,"1_13a","1_13","empty","none",2,0,17,0,0,0,1,1,0,0
"84","BP","A","Low","trapnest_1",13,"a",2023-06-05,"1_13a","1_13","empty","none",1,0,18,1,0,1,0,0,0,0
"85","BP","A","Low","trapnest_1",13,"a",2023-06-08,"1_13a","1_13","empty","none",2,0,17,0,0,0,1,1,0,0
"86","BP","A","Low","trapnest_1",13,"a",2023-06-10,"1_13a","1_13","empty","none",0,0,17,0,0,0,1,1,0,0
"87","BP","A","Low","trapnest_1",13,"a",2023-06-12,"1_13a","1_13","empty","none",1,0,17,0,0,0,1,1,0,0
"88","BP","A","Low","trapnest_1",13,"a",2023-06-14,"1_13a","1_13","empty","none",0,0,17,0,0,0,1,1,0,0
"89","BP","A","Low","trapnest_1",13,"a",2023-06-16,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"90","BP","A","Low","trapnest_1",13,"a",2023-06-20,"1_13a","1_13","empty","none",3,0,18,0,0,0,0,0,0,0
"91","BP","A","Low","trapnest_1",13,"a",2023-06-23,"1_13a","1_13","empty","none",3,0,18,0,0,0,0,0,0,0
"92","BP","A","Low","trapnest_1",13,"a",2023-06-29,"1_13a","1_13","empty","none",1,0,18,0,0,0,0,0,0,0
"93","BP","A","Low","trapnest_1",14,"a",2023-05-11,"1_14a","1_14","empty","none",3,0,18,0,0,0,0,0,0,0
"94","BP","A","Low","trapnest_1",14,"a",2023-05-12,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"95","BP","A","Low","trapnest_1",14,"a",2023-05-15,"1_14a","1_14","empty","none",3,0,18,0,0,0,0,0,0,0
"96","BP","A","Low","trapnest_1",14,"a",2023-05-16,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"97","BP","A","Low","trapnest_1",14,"a",2023-05-17,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"98","BP","A","Low","trapnest_1",14,"a",2023-05-19,"1_14a","1_14","empty","none",2,0,18,0,0,0,0,0,0,0
"99","BP","A","Low","trapnest_1",14,"a",2023-05-21,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"100","BP","A","Low","trapnest_1",14,"a",2023-05-22,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"101","BP","A","Low","trapnest_1",14,"a",2023-05-23,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"102","BP","A","Low","trapnest_1",14,"a",2023-05-26,"1_14a","1_14","empty","none",2,0,18,0,0,0,0,0,0,0
"103","BP","A","Low","trapnest_1",14,"a",2023-05-28,"1_14a","1_14","empty","none",2,0,18,0,0,0,0,0,0,0
"104","BP","A","Low","trapnest_1",14,"a",2023-05-29,"1_14a","1_14","empty","none",1,0,18,1,0,1,0,0,0,0
"105","BP","A","Low","trapnest_1",14,"a",2023-05-31,"1_14a","1_14","empty","none",2,0,17,0,0,0,1,1,0,0
"106","BP","A","Low","trapnest_1",14,"a",2023-06-02,"1_14a","1_14","empty","none",2,0,17,0,0,0,1,1,0,0
"107","BP","A","Low","trapnest_1",14,"a",2023-06-05,"1_14a","1_14","empty","none",1,0,18,1,0,1,0,0,0,0
"108","BP","A","Low","trapnest_1",14,"a",2023-06-08,"1_14a","1_14","empty","none",2,0,17,0,0,0,1,1,0,0
"109","BP","A","Low","trapnest_1",14,"a",2023-06-10,"1_14a","1_14","empty","none",0,0,17,0,0,0,1,1,0,0
"110","BP","A","Low","trapnest_1",14,"a",2023-06-12,"1_14a","1_14","empty","none",1,0,17,0,0,0,1,1,0,0
"111","BP","A","Low","trapnest_1",14,"a",2023-06-14,"1_14a","1_14","empty","none",0,0,17,0,0,0,1,1,0,0
"112","BP","A","Low","trapnest_1",14,"a",2023-06-16,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"113","BP","A","Low","trapnest_1",14,"a",2023-06-20,"1_14a","1_14","empty","none",3,0,18,0,0,0,0,0,0,0
"114","BP","A","Low","trapnest_1",14,"a",2023-06-23,"1_14a","1_14","empty","none",3,0,18,0,0,0,0,0,0,0
"115","BP","A","Low","trapnest_1",14,"a",2023-06-29,"1_14a","1_14","empty","none",1,0,18,0,0,0,0,0,0,0
"116","BP","A","Low","trapnest_1",15,"a",2023-05-11,"1_15a","1_15","empty","none",3,0,18,0,0,0,0,0,0,0
"117","BP","A","Low","trapnest_1",15,"a",2023-05-12,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"118","BP","A","Low","trapnest_1",15,"a",2023-05-15,"1_15a","1_15","empty","none",3,0,18,0,0,0,0,0,0,0
"119","BP","A","Low","trapnest_1",15,"a",2023-05-16,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"120","BP","A","Low","trapnest_1",15,"a",2023-05-17,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"121","BP","A","Low","trapnest_1",15,"a",2023-05-19,"1_15a","1_15","empty","none",2,0,18,0,0,0,0,0,0,0
"122","BP","A","Low","trapnest_1",15,"a",2023-05-21,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"123","BP","A","Low","trapnest_1",15,"a",2023-05-22,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"124","BP","A","Low","trapnest_1",15,"a",2023-05-23,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"125","BP","A","Low","trapnest_1",15,"a",2023-05-26,"1_15a","1_15","empty","none",2,0,18,0,0,0,0,0,0,0
"126","BP","A","Low","trapnest_1",15,"a",2023-05-28,"1_15a","1_15","empty","none",2,0,18,0,0,0,0,0,0,0
"127","BP","A","Low","trapnest_1",15,"a",2023-05-29,"1_15a","1_15","empty","none",1,0,18,1,0,1,0,0,0,0
"128","BP","A","Low","trapnest_1",15,"a",2023-05-31,"1_15a","1_15","empty","none",2,0,17,0,0,0,1,1,0,0
"129","BP","A","Low","trapnest_1",15,"a",2023-06-02,"1_15a","1_15","empty","none",2,0,17,0,0,0,1,1,0,0
"130","BP","A","Low","trapnest_1",15,"a",2023-06-05,"1_15a","1_15","empty","none",1,0,18,1,0,1,0,0,0,0
"131","BP","A","Low","trapnest_1",15,"a",2023-06-08,"1_15a","1_15","empty","none",2,0,17,0,0,0,1,1,0,0
"132","BP","A","Low","trapnest_1",15,"a",2023-06-10,"1_15a","1_15","empty","none",0,0,17,0,0,0,1,1,0,0
"133","BP","A","Low","trapnest_1",15,"a",2023-06-12,"1_15a","1_15","empty","none",1,0,17,0,0,0,1,1,0,0
"134","BP","A","Low","trapnest_1",15,"a",2023-06-14,"1_15a","1_15","empty","none",0,0,17,0,0,0,1,1,0,0
"135","BP","A","Low","trapnest_1",15,"a",2023-06-16,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"136","BP","A","Low","trapnest_1",15,"a",2023-06-20,"1_15a","1_15","empty","none",3,0,18,0,0,0,0,0,0,0
"137","BP","A","Low","trapnest_1",15,"a",2023-06-23,"1_15a","1_15","empty","none",3,0,18,0,0,0,0,0,0,0
"138","BP","A","Low","trapnest_1",15,"a",2023-06-29,"1_15a","1_15","empty","none",1,0,18,0,0,0,0,0,0,0
"139","BP","A","Low","trapnest_1",16,"a",2023-05-11,"1_16a","1_16","empty","none",3,0,18,0,0,0,0,0,0,0
"140","BP","A","Low","trapnest_1",16,"a",2023-05-12,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"141","BP","A","Low","trapnest_1",16,"a",2023-05-15,"1_16a","1_16","empty","none",3,0,18,0,0,0,0,0,0,0
"142","BP","A","Low","trapnest_1",16,"a",2023-05-16,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"143","BP","A","Low","trapnest_1",16,"a",2023-05-17,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"144","BP","A","Low","trapnest_1",16,"a",2023-05-19,"1_16a","1_16","empty","none",2,0,18,0,0,0,0,0,0,0
"145","BP","A","Low","trapnest_1",16,"a",2023-05-21,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"146","BP","A","Low","trapnest_1",16,"a",2023-05-22,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"147","BP","A","Low","trapnest_1",16,"a",2023-05-23,"1_16a","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"148","BP","A","Low","trapnest_1",16,"a",2023-05-26,"1_16a","1_16","empty","none",2,0,18,0,0,0,0,0,0,0
"149","BP","A","Low","trapnest_1",16,"a",2023-05-28,"1_16a","1_16","empty","none",2,0,18,0,0,0,0,0,0,0
"150","BP","A","Low","trapnest_1",16,"a",2023-05-29,"1_16a","1_16","empty","none",1,0,18,1,0,1,0,0,0,0
"151","BP","A","Low","trapnest_1",16,"a",2023-05-31,"1_16a","1_16","empty","none",2,0,17,0,0,0,1,1,0,0
"152","BP","A","Low","trapnest_1",16,"a",2023-06-02,"1_16a","1_16","empty","none",2,0,17,0,0,0,1,1,0,0
"153","BP","A","Low","trapnest_1",16,"a",2023-06-05,"1_16a","1_16","2 cells","osmia",1,1,18,1,0,1,0,0,0,0
"154","BP","A","Low","trapnest_1",16,"a",2023-06-08,"1_16a","1_16","no change","osmia",2,NA,17,0,0,0,1,1,0,0
"155","BP","A","Low","trapnest_1",16,"a",2023-06-10,"1_16a","1_16","no change","osmia",0,NA,17,0,0,0,1,1,0,0
"156","BP","A","Low","trapnest_1",16,"a",2023-06-12,"1_16a","1_16","no change","osmia",1,NA,17,0,0,0,1,1,0,0
"157","BP","A","Low","trapnest_1",16,"a",2023-06-14,"1_16a","1_16","2 cells + end cap","osmia",0,NA,17,0,0,0,1,1,0,0
"158","BP","A","Low","trapnest_1",16,"b",2023-06-16,"1_16b","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"159","BP","A","Low","trapnest_1",16,"b",2023-06-20,"1_16b","1_16","empty","none",3,0,18,0,0,0,0,0,0,0
"160","BP","A","Low","trapnest_1",16,"b",2023-06-23,"1_16b","1_16","empty","none",3,0,18,0,0,0,0,0,0,0
"161","BP","A","Low","trapnest_1",16,"b",2023-06-29,"1_16b","1_16","empty","none",1,0,18,0,0,0,0,0,0,0
"162","BP","A","Low","trapnest_1",17,"a",2023-05-11,"1_17a","1_17","empty","none",3,0,18,0,0,0,0,0,0,0
"163","BP","A","Low","trapnest_1",17,"a",2023-05-12,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"164","BP","A","Low","trapnest_1",17,"a",2023-05-15,"1_17a","1_17","empty","none",3,0,18,0,0,0,0,0,0,0
"165","BP","A","Low","trapnest_1",17,"a",2023-05-16,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"166","BP","A","Low","trapnest_1",17,"a",2023-05-17,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"167","BP","A","Low","trapnest_1",17,"a",2023-05-19,"1_17a","1_17","empty","none",2,0,18,0,0,0,0,0,0,0
"168","BP","A","Low","trapnest_1",17,"a",2023-05-21,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"169","BP","A","Low","trapnest_1",17,"a",2023-05-22,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"170","BP","A","Low","trapnest_1",17,"a",2023-05-23,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"171","BP","A","Low","trapnest_1",17,"a",2023-05-26,"1_17a","1_17","empty","none",2,0,18,0,0,0,0,0,0,0
"172","BP","A","Low","trapnest_1",17,"a",2023-05-28,"1_17a","1_17","empty","none",2,0,18,0,0,0,0,0,0,0
"173","BP","A","Low","trapnest_1",17,"a",2023-05-29,"1_17a","1_17","empty","none",1,0,18,1,0,1,0,0,0,0
"174","BP","A","Low","trapnest_1",17,"a",2023-05-31,"1_17a","1_17","empty","none",2,0,17,0,0,0,1,1,0,0
"175","BP","A","Low","trapnest_1",17,"a",2023-06-02,"1_17a","1_17","empty","none",2,0,17,0,0,0,1,1,0,0
"176","BP","A","Low","trapnest_1",17,"a",2023-06-05,"1_17a","1_17","empty","none",1,0,18,1,0,1,0,0,0,0
"177","BP","A","Low","trapnest_1",17,"a",2023-06-08,"1_17a","1_17","empty","none",2,0,17,0,0,0,1,1,0,0
"178","BP","A","Low","trapnest_1",17,"a",2023-06-10,"1_17a","1_17","empty","none",0,0,17,0,0,0,1,1,0,0
"179","BP","A","Low","trapnest_1",17,"a",2023-06-12,"1_17a","1_17","empty","none",1,0,17,0,0,0,1,1,0,0
"180","BP","A","Low","trapnest_1",17,"a",2023-06-14,"1_17a","1_17","empty","none",0,0,17,0,0,0,1,1,0,0
"181","BP","A","Low","trapnest_1",17,"a",2023-06-16,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"182","BP","A","Low","trapnest_1",17,"a",2023-06-20,"1_17a","1_17","empty","none",3,0,18,0,0,0,0,0,0,0
"183","BP","A","Low","trapnest_1",17,"a",2023-06-23,"1_17a","1_17","empty","none",3,0,18,0,0,0,0,0,0,0
"184","BP","A","Low","trapnest_1",17,"a",2023-06-29,"1_17a","1_17","empty","none",1,0,18,0,0,0,0,0,0,0
"185","BP","A","Low","trapnest_1",18,"a",2023-05-11,"1_18a","1_18","empty","none",3,0,18,0,0,0,0,0,0,0
"186","BP","A","Low","trapnest_1",18,"a",2023-05-12,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"187","BP","A","Low","trapnest_1",18,"a",2023-05-15,"1_18a","1_18","empty","none",3,0,18,0,0,0,0,0,0,0
"188","BP","A","Low","trapnest_1",18,"a",2023-05-16,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"189","BP","A","Low","trapnest_1",18,"a",2023-05-17,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"190","BP","A","Low","trapnest_1",18,"a",2023-05-19,"1_18a","1_18","empty","none",2,0,18,0,0,0,0,0,0,0
"191","BP","A","Low","trapnest_1",18,"a",2023-05-21,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"192","BP","A","Low","trapnest_1",18,"a",2023-05-22,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"193","BP","A","Low","trapnest_1",18,"a",2023-05-23,"1_18a","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"194","BP","A","Low","trapnest_1",18,"a",2023-05-26,"1_18a","1_18","empty","none",2,0,18,0,0,0,0,0,0,0
"195","BP","A","Low","trapnest_1",18,"a",2023-05-28,"1_18a","1_18","empty","none",2,0,18,0,0,0,0,0,0,0
"196","BP","A","Low","trapnest_1",18,"a",2023-05-29,"1_18a","1_18","inner wall","osmia",1,1,18,1,0,1,0,0,0,0
"197","BP","A","Low","trapnest_1",18,"a",2023-05-31,"1_18a","1_18","no change","osmia",2,NA,17,0,0,0,1,1,0,0
"198","BP","A","Low","trapnest_1",18,"a",2023-06-02,"1_18a","1_18","no change","osmia",2,NA,17,0,0,0,1,1,0,0
"199","BP","A","Low","trapnest_1",18,"b",2023-06-05,"1_18b","1_18","empty","none",1,0,18,1,0,1,0,0,0,0
"200","BP","A","Low","trapnest_1",18,"b",2023-06-08,"1_18b","1_18","empty","none",2,0,17,0,0,0,1,1,0,0
"201","BP","A","Low","trapnest_1",18,"b",2023-06-10,"1_18b","1_18","empty","none",0,0,17,0,0,0,1,1,0,0
"202","BP","A","Low","trapnest_1",18,"b",2023-06-12,"1_18b","1_18","empty","none",1,0,17,0,0,0,1,1,0,0
"203","BP","A","Low","trapnest_1",18,"b",2023-06-14,"1_18b","1_18","empty","none",0,0,17,0,0,0,1,1,0,0
"204","BP","A","Low","trapnest_1",18,"b",2023-06-16,"1_18b","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"205","BP","A","Low","trapnest_1",18,"b",2023-06-20,"1_18b","1_18","empty","none",3,0,18,0,0,0,0,0,0,0
"206","BP","A","Low","trapnest_1",18,"b",2023-06-23,"1_18b","1_18","empty","none",3,0,18,0,0,0,0,0,0,0
"207","BP","A","Low","trapnest_1",18,"b",2023-06-29,"1_18b","1_18","empty","none",1,0,18,0,0,0,0,0,0,0
"208","BP","A","Low","trapnest_1",1,"a",2023-05-11,"1_1a","1_1","empty","none",3,0,18,0,0,0,0,0,0,0
"209","BP","A","Low","trapnest_1",1,"a",2023-05-12,"1_1a","1_1","empty","none",1,0,18,0,0,0,0,0,0,0
"210","BP","A","Low","trapnest_1",1,"a",2023-05-15,"1_1a","1_1","empty","none",3,0,18,0,0,0,0,0,0,0
